,departure_aerodrome_icao_code,arrival_aerodrome_icao_code,aircraft_registration,flight_date,flight_number,landing_time,flight_time,onblock_time,onblock_fuel,block_time,pf,pm,pc1,pc2
43,VTBS,VOMM,HS-TQA,2022-06-01T00:00:00.000Z,THA337,,,,,,,,,
44,VTBS,VOBL,HS-THM,2022-06-01T00:00:00.000Z,THA325,,,,,,44305,,,
45,VTBS,VOBL,HS-THM,2022-06-01T00:00:00.000Z,THA325,,,,,,,,,
46,VTBS,VIDP,HS-TKO,2022-06-01T00:00:00.000Z,THA315,,,,,,,44621,,
47,VTBS,VIDP,HS-TKO,2022-06-01T00:00:00.000Z,THA315,,,,,,,,,
48,VTBS,WADD,HS-TJW,2022-05-29T00:00:00.000Z,THA431,0730,0342,0734,30600.0,0355,43257,33625,,
49,VTBS,EGLL,HS-TQC,2022-05-31T00:00:00.000Z,THA916,1815,1201,1826,8400.0,1226,42596,43257,33643,
50,VTBS,VGHS,HS-TQA,2022-06-01T00:00:00.000Z,THA321,0554,0201,0600,18600.0,0219,43486,23511,_____,
51,VGHS,VTBS,HS-TQA,2022-06-01T00:00:00.000Z,THA322,1008,0202,1016,7900.0,0222,23511,43486,,
52,ZGGG,VTBS,HS-TKP,2022-05-31T00:00:00.000Z,THA679,1652,0220,1702,9200.0,0248,26114,44296,,
53,VTBS,ESSA,HS-THD,2022-05-31T00:00:00.000Z,THA960,0626,1128,0637,9400.0,1152,44346,32107,43940,
54,VTBS,ZGGG,HS-TKP,2022-05-31T00:00:00.000Z,THA678,1126,0234,1141,26000.0,0301,44296,26114,,
